method,metric,mean,ci95_low,ci95_high,n_blocks
SASP,deadline_expiration_class0,0.0030416886944360207,0.0025585246157100805,0.003524852773161961,10
SASP,queue_overflow_packet_probability,0.0164402331483642,0.01483947564410929,0.01804099065261911,10
SASP,cohort_goodput_mbps,4.175562500000001,4.152952552338683,4.198172447661318,10
SASP,energy_j,0.09710264908057371,0.09604655549795765,0.09815874266318977,10
SASP,throughput_mbps,3.716548462614322,3.698329321920008,3.7347676033086357,10
SASP,total_packet_failure_probability,0.02019283569646341,0.018089201819923562,0.02229646957300326,10
SASP,deadline_expiration_class1,0.004529905269680187,0.0032586002446276423,0.0058012102947327315,10
SASP,deadline_expiration_class2,0.006102865740477731,0.005054999206421633,0.007150732274533829,10
SASP,controller_median_ms,6.661693194444444,6.522265601288153,6.801120787600736,10
SASP,controller_p95_ms,12.212358763888883,11.869179414955285,12.55553811282248,10
SASP,decision_median_ms,6.64574875,6.506309742270115,6.785187757729886,10
SASP,decision_p95_ms,12.185538749999994,11.843058061220363,12.528019438779625,10
MaxRateMatching,deadline_expiration_class0,0.051139962019719896,0.048953049324246524,0.05332687471519327,10
MaxRateMatching,queue_overflow_packet_probability,0.0631776069420507,0.061089811939363844,0.06526540194473755,10
MaxRateMatching,cohort_goodput_mbps,3.70903549382716,3.6955192386320856,3.7225517490222346,10
MaxRateMatching,energy_j,0.08458912779470348,0.08391141904001295,0.08526683654939402,10
MaxRateMatching,throughput_mbps,3.6794298110440082,3.660473212807788,3.6983864092802285,10
MaxRateMatching,total_packet_failure_probability,0.1189180952918238,0.11537049485551515,0.12246569572813246,10
MaxRateMatching,deadline_expiration_class1,0.07492752489693831,0.0713175266803078,0.07853752311356882,10
MaxRateMatching,deadline_expiration_class2,0.029810790561357298,0.027119249362298214,0.032502331760416385,10
MaxRateMatching,controller_median_ms,1.4455241666666667,1.428869573199089,1.4621787601342444,10
MaxRateMatching,controller_p95_ms,2.2158551666666657,2.161415097292633,2.2702952360406985,10
MaxRateMatching,decision_median_ms,1.4455241666666667,1.428869573199089,1.4621787601342444,10
MaxRateMatching,decision_p95_ms,2.2158551666666657,2.161415097292633,2.2702952360406985,10
MaxWeight,deadline_expiration_class0,0.13960845455931772,0.13486331506300833,0.14435359405562712,10
MaxWeight,queue_overflow_packet_probability,0.04751375421425284,0.045706206498067524,0.04932130193043816,10
MaxWeight,cohort_goodput_mbps,3.7040717592592594,3.68798613036354,3.7201573881549788,10
MaxWeight,energy_j,0.08335981594672412,0.08277527812080579,0.08394435377264245,10
MaxWeight,throughput_mbps,3.6457279667950346,3.628766818916162,3.662689114673907,10
MaxWeight,total_packet_failure_probability,0.14783723019231818,0.14280717525816516,0.1528672851264712,10
MaxWeight,deadline_expiration_class1,0.07112314941338134,0.06935112197385215,0.07289517685291053,10
MaxWeight,deadline_expiration_class2,0.02051066129651862,0.019018238271237428,0.022003084321799815,10
MaxWeight,controller_median_ms,1.9664520833333334,1.9442282652288756,1.9886759014377913,10
MaxWeight,controller_p95_ms,2.707427902777776,2.6438885009811326,2.7709673045744196,10
MaxWeight,decision_median_ms,1.9664520833333334,1.9442282652288756,1.9886759014377913,10
MaxWeight,decision_p95_ms,2.707427902777776,2.6438885009811326,2.7709673045744196,10
WeightedMaxWeight,deadline_expiration_class0,0.07879076408341829,0.07646503798421503,0.08111649018262154,10
WeightedMaxWeight,queue_overflow_packet_probability,0.04324063229245245,0.041662652369995126,0.04481861221490978,10
WeightedMaxWeight,cohort_goodput_mbps,3.7746381172839505,3.761228530599001,3.7880477039689,10
WeightedMaxWeight,energy_j,0.08468000719871886,0.08400080864021336,0.08535920575722436,10
WeightedMaxWeight,throughput_mbps,3.6887073496122538,3.669569366120585,3.7078453331039225,10
WeightedMaxWeight,total_packet_failure_probability,0.11210020081051568,0.10844222970158875,0.11575817191944261,10
WeightedMaxWeight,deadline_expiration_class1,0.06690331553147742,0.06442356161806256,0.06938306944489228,10
WeightedMaxWeight,deadline_expiration_class2,0.034001798765623974,0.03138744347447196,0.036616154056775985,10
WeightedMaxWeight,controller_median_ms,1.8540619444444446,1.8357227973762094,1.8724010915126799,10
WeightedMaxWeight,controller_p95_ms,2.5905994166666657,2.5231411870295037,2.6580576463038277,10
WeightedMaxWeight,decision_median_ms,1.8540619444444446,1.8357227973762094,1.8724010915126799,10
WeightedMaxWeight,decision_p95_ms,2.5905994166666657,2.5231411870295037,2.6580576463038277,10
EDF,deadline_expiration_class0,0.0003650393830562872,0.00014480060676656489,0.0005852781593460095,10
EDF,queue_overflow_packet_probability,0.038111893074343,0.03617678703314131,0.040046999115544685,10
EDF,cohort_goodput_mbps,4.034663580246914,4.012748784135467,4.0565783763583605,10
EDF,energy_j,0.08531286243984489,0.08463342234324692,0.08599230253644286,10
EDF,throughput_mbps,3.6218105259937134,3.603149763905835,3.6404712880815917,10
EDF,total_packet_failure_probability,0.03866456195029698,0.03654546309649635,0.04078366080409761,10
EDF,deadline_expiration_class1,0.0014290811116454915,0.000554126249030507,0.002304035974260476,10
EDF,deadline_expiration_class2,2.5252525252525253e-05,-3.1872655626217286e-05,8.237770613126778e-05,10
EDF,controller_median_ms,1.4125116666666666,1.3828999471671828,1.4421233861661504,10
EDF,controller_p95_ms,2.1256188194444436,2.0860493346672664,2.165188304221621,10
EDF,decision_median_ms,1.4125116666666666,1.3828999471671828,1.4421233861661504,10
EDF,decision_p95_ms,2.1256188194444436,2.0860493346672664,2.165188304221621,10
LyapunovDPP-Energy,deadline_expiration_class0,0.1480993429306897,0.143398308142012,0.1528003777193674,10
LyapunovDPP-Energy,queue_overflow_packet_probability,0.04992850143963103,0.048025400142933876,0.05183160273632819,10
LyapunovDPP-Energy,cohort_goodput_mbps,3.6715941358024686,3.6598178001171964,3.683370471487741,10
LyapunovDPP-Energy,energy_j,0.07678671589086183,0.07641807418634262,0.07715535759538104,10
LyapunovDPP-Energy,throughput_mbps,3.635203852495809,3.618095172013133,3.6523125329784847,10
LyapunovDPP-Energy,total_packet_failure_probability,0.15595249570696257,0.1505765529408541,0.16132843847307105,10
LyapunovDPP-Energy,deadline_expiration_class1,0.0741623384887948,0.0726142219680155,0.07571045500957412,10
LyapunovDPP-Energy,deadline_expiration_class2,0.023033716359859437,0.021496880504358454,0.02457055221536042,10
LyapunovDPP-Energy,controller_median_ms,1.9726069444444445,1.946043055905807,1.999170832983082,10
LyapunovDPP-Energy,controller_p95_ms,2.7390968749999987,2.6158483898527547,2.8623453601472426,10
LyapunovDPP-Energy,decision_median_ms,1.9726069444444445,1.946043055905807,1.999170832983082,10
LyapunovDPP-Energy,decision_p95_ms,2.7390968749999987,2.6158483898527547,2.8623453601472426,10
