method,metric,mean,ci95_low,ci95_high,n_blocks
SASP,deadline_expiration_class0,0.003558306263567689,0.001794448948982053,0.005322163578153325,5
SASP,queue_overflow_packet_probability,0.01592801828988465,0.00882301651044837,0.02303302006932093,5
SASP,cohort_goodput_mbps,4.175347222222223,4.103402842097542,4.2472916023469045,5
SASP,energy_j,0.09738748656605148,0.09451374173452154,0.10026123139758142,5
SASP,throughput_mbps,3.728244346982361,3.6882321604437642,3.768256533520958,5
SASP,total_packet_failure_probability,0.019567366680765967,0.010943079189771625,0.02819165417176031,5
SASP,deadline_expiration_class1,0.0038093910964371465,0.002321246638842745,0.005297535554031548,5
SASP,deadline_expiration_class2,0.003861520563295871,0.000230082306769663,0.007492958819822079,5
SASP,controller_median_ms,6.271140833333333,5.908534044770114,6.633747621896552,5
SASP,controller_p95_ms,8.438338249999997,8.036670037764747,8.840006462235248,5
SASP,decision_median_ms,6.256394166666667,5.894343968593887,6.618444364739448,5
SASP,decision_p95_ms,8.422034416666664,8.020911613669513,8.823157219663814,5
SASP-NoPredictedService,deadline_expiration_class0,0.411092518408244,0.4013686517737846,0.4208163850427034,5
SASP-NoPredictedService,queue_overflow_packet_probability,0.1982931783244288,0.18817530361410306,0.20841105303475455,5
SASP-NoPredictedService,cohort_goodput_mbps,1.5426712962962963,1.5117445810869166,1.573598011505676,5
SASP-NoPredictedService,energy_j,0.059662106442934314,0.059597352414809325,0.0597268604710593,5
SASP-NoPredictedService,throughput_mbps,1.5745469998896806,1.5511580855446603,1.597935914234701,5
SASP-NoPredictedService,total_packet_failure_probability,0.5948343256939875,0.5817538702211085,0.6079147811668666,5
SASP-NoPredictedService,deadline_expiration_class1,0.3512521599094417,0.33584919730028046,0.36665512251860294,5
SASP-NoPredictedService,deadline_expiration_class2,0.46762073435192775,0.4461437353717983,0.4890977333320572,5
SASP-NoPredictedService,controller_median_ms,7.638412499999999,7.525852978279475,7.750972021720524,5
SASP-NoPredictedService,controller_p95_ms,9.74583183333333,9.547999044407296,9.943664622259364,5
SASP-NoPredictedService,decision_median_ms,7.623518333333332,7.51127722692654,7.735759439740124,5
SASP-NoPredictedService,decision_p95_ms,9.725944999999998,9.52761958957399,9.924270410426006,5
SASP-NoVirtualQueue,deadline_expiration_class0,0.002840149617960043,0.0004969829100095842,0.005183316325910502,5
SASP-NoVirtualQueue,queue_overflow_packet_probability,0.019153244806323015,0.010864052972545935,0.027442436640100095,5
SASP-NoVirtualQueue,cohort_goodput_mbps,4.14525925925926,4.08455435438704,4.205964164131479,5
SASP-NoVirtualQueue,energy_j,0.09778360595057538,0.0948573464335417,0.10070986546760906,5
SASP-NoVirtualQueue,throughput_mbps,3.7610774363984127,3.719079756452687,3.8030751163441385,5
SASP-NoVirtualQueue,total_packet_failure_probability,0.023296456764256714,0.01258899833444944,0.03400391519406399,5
SASP-NoVirtualQueue,deadline_expiration_class1,0.004867476780430981,0.002557540366716566,0.0071774131941453965,5
SASP-NoVirtualQueue,deadline_expiration_class2,0.008912128580763477,0.002868096560867609,0.014956160600659345,5
SASP-NoVirtualQueue,controller_median_ms,5.749037499999999,5.4877512425526485,6.01032375744735,5
SASP-NoVirtualQueue,controller_p95_ms,8.038216666666663,7.679492171258771,8.396941162074555,5
SASP-NoVirtualQueue,decision_median_ms,5.749037499999999,5.4877512425526485,6.01032375744735,5
