method,metric,mean,ci95_low,ci95_high,n_blocks
SASP,deadline_expiration_class0,0.012449281090390448,0.010895037583102209,0.014003524597678688,5
SASP,queue_overflow_packet_probability,0.0774074998397959,0.07314226671274499,0.08167273296684682,5
SASP,cohort_goodput_mbps,3.6508453703703707,3.62440692620216,3.6772838145385816,5
SASP,energy_j,0.47552528081496515,0.463930583822587,0.4871199778073433,5
SASP,throughput_mbps,3.645574609600049,3.6242809211109126,3.6668682980891854,5
SASP,total_packet_failure_probability,0.10631086337985826,0.1005399411186706,0.11208178564104593,5
SASP,deadline_expiration_class1,0.02308641319902218,0.01888892478158685,0.027283901616457513,5
SASP,deadline_expiration_class2,0.12219419961786171,0.11166779115400234,0.1327206080817211,5
SASP,controller_median_ms,7.217969999999999,7.064631907425823,7.371308092574176,5
SASP,controller_p95_ms,9.049498166666664,8.764513418412964,9.334482914920365,5
SASP,decision_median_ms,7.203011666666667,7.049932348839739,7.356090984493594,5
SASP,decision_p95_ms,9.032626749999999,8.747611516429354,9.317641983570644,5
MaxRateMatching,deadline_expiration_class0,0.047592905584596015,0.04482137374072896,0.05036443742846307,5
MaxRateMatching,queue_overflow_packet_probability,0.09829540339939619,0.09550352790241497,0.1010872788963774,5
MaxRateMatching,cohort_goodput_mbps,3.283082407407408,3.267368970979377,3.298795843835439,5
MaxRateMatching,energy_j,0.41410171646766153,0.40848216432351614,0.4197212686118069,5
MaxRateMatching,throughput_mbps,3.58490101929286,3.5629092050019944,3.606892833583726,5
MaxRateMatching,total_packet_failure_probability,0.18594423770456653,0.17949888744005002,0.19238958796908304,5
MaxRateMatching,deadline_expiration_class1,0.13158395578134124,0.11953094201124738,0.14363696955143512,5
MaxRateMatching,deadline_expiration_class2,0.1266449694545264,0.11794219384561261,0.13534774506344022,5
MaxRateMatching,controller_median_ms,1.415815,1.372896177948109,1.458733822051891,5
MaxRateMatching,controller_p95_ms,2.1135459166666664,2.0359991512582414,2.1910926820750913,5
MaxRateMatching,decision_median_ms,1.415815,1.372896177948109,1.458733822051891,5
MaxRateMatching,decision_p95_ms,2.1135459166666664,2.0359991512582414,2.1910926820750913,5
MaxWeight,deadline_expiration_class0,0.23108093158135312,0.2230524745968522,0.23910938856585404,5
MaxWeight,queue_overflow_packet_probability,0.0950902127295827,0.09098458619079783,0.09919583926836756,5
MaxWeight,cohort_goodput_mbps,3.2558453703703707,3.241134486915331,3.2705562538254105,5
MaxWeight,energy_j,0.3990006830338392,0.3940891606471383,0.40391220542054007,5
MaxWeight,throughput_mbps,3.514182650976571,3.4976003052928473,3.5307649966602943,5
MaxWeight,total_packet_failure_probability,0.2495537373050321,0.23743193369347226,0.26167554091659195,5
MaxWeight,deadline_expiration_class1,0.07152402366562184,0.06642545528184529,0.07662259204939839,5
MaxWeight,deadline_expiration_class2,0.09862280341988036,0.09226847845706479,0.10497712838269593,5
MaxWeight,controller_median_ms,1.9536850000000001,1.911020958306127,1.9963490416938732,5
MaxWeight,controller_p95_ms,2.496253833333333,2.421211914868746,2.5712957517979196,5
MaxWeight,decision_median_ms,1.9536850000000001,1.911020958306127,1.9963490416938732,5
MaxWeight,decision_p95_ms,2.496253833333333,2.421211914868746,2.5712957517979196,5
WeightedMaxWeight,deadline_expiration_class0,0.09175849957687053,0.08690309178465944,0.09661390736908163,5
WeightedMaxWeight,queue_overflow_packet_probability,0.09151359196204625,0.0884401203057937,0.0945870636182988,5
WeightedMaxWeight,cohort_goodput_mbps,3.298385185185185,3.2828429719072836,3.3139273984630866,5
WeightedMaxWeight,energy_j,0.4131102169624191,0.40768637155273135,0.4185340623721069,5
WeightedMaxWeight,throughput_mbps,3.5877081098438013,3.5688263530850217,3.606589866602581,5
WeightedMaxWeight,total_packet_failure_probability,0.1915023901337251,0.18469629316106081,0.1983084871063894,5
WeightedMaxWeight,deadline_expiration_class1,0.0986062757760621,0.08975771976321936,0.10745483178890483,5
WeightedMaxWeight,deadline_expiration_class2,0.1405982892467912,0.1322038412972481,0.14899273719633432,5
WeightedMaxWeight,controller_median_ms,1.83912,1.799514768367729,1.8787252316322711,5
WeightedMaxWeight,controller_p95_ms,2.4756841666666665,2.4013008241530045,2.5500675091803284,5
WeightedMaxWeight,decision_median_ms,1.83912,1.799514768367729,1.8787252316322711,5
WeightedMaxWeight,decision_p95_ms,2.4756841666666665,2.4013008241530045,2.5500675091803284,5
EDF,deadline_expiration_class0,0.0075822745794468,0.006252366288084387,0.008912182870809214,5
EDF,queue_overflow_packet_probability,0.12098674194828447,0.11690536355882028,0.12506812033774867,5
EDF,cohort_goodput_mbps,3.4876240740740743,3.473832131773615,3.5014160163745336,5
EDF,energy_j,0.41452421237372256,0.40962712372171384,0.4194213010257313,5
EDF,throughput_mbps,3.5021086325293735,3.4853887983786827,3.5188284666800644,5
EDF,total_packet_failure_probability,0.13934109939411837,0.1331034606231151,0.14557873816512165,5
EDF,deadline_expiration_class1,0.015139901709661004,0.011581714744410157,0.01869808867491185,5
EDF,deadline_expiration_class2,0.07761678603517055,0.06102027992736883,0.09421329214297228,5
EDF,controller_median_ms,1.6865824999999997,1.6564304657666393,1.71673453423336,5
EDF,controller_p95_ms,2.478066416666666,2.363990418308617,2.5921424150247154,5
EDF,decision_median_ms,1.6865824999999997,1.6564304657666393,1.71673453423336,5
EDF,decision_p95_ms,2.478066416666666,2.363990418308617,2.5921424150247154,5
LyapunovDPP-Energy,deadline_expiration_class0,0.2383319259391758,0.22871505994112307,0.24794879193722852,5
LyapunovDPP-Energy,queue_overflow_packet_probability,0.09716889868088835,0.09379463488302717,0.10054316247874953,5
LyapunovDPP-Energy,cohort_goodput_mbps,3.230921296296296,3.2189460578447346,3.242896534747857,5
LyapunovDPP-Energy,energy_j,0.37158755645310176,0.3686858930479966,0.37448921985820693,5
LyapunovDPP-Energy,throughput_mbps,3.5033153775746264,3.488115994395965,3.5185147607532876,5
LyapunovDPP-Energy,total_packet_failure_probability,0.2561718460429402,0.24422415244732257,0.26811953963855784,5
LyapunovDPP-Energy,deadline_expiration_class1,0.0747285077760136,0.07157429127770606,0.07788272427432114,5
LyapunovDPP-Energy,deadline_expiration_class2,0.09645424953363908,0.08752268065158667,0.1053858184156915,5
LyapunovDPP-Energy,controller_median_ms,1.9630691666666666,1.9237664233450074,2.002371909988326,5
LyapunovDPP-Energy,controller_p95_ms,2.5902261666666666,2.449720632399762,2.730731700933571,5
LyapunovDPP-Energy,decision_median_ms,1.9630691666666666,1.9237664233450074,2.002371909988326,5
LyapunovDPP-Energy,decision_p95_ms,2.5902261666666666,2.449720632399762,2.730731700933571,5
