comparison,metric,mean,ci95_low,ci95_high,n_blocks,matched_scenarios,p_two_sided,p_holm_within_suite
SASP minus MaxRateMatching,deadline_expiration_class0,-0.035089002447278375,-0.042175506115060796,-0.02800249877949595,5,119,0.0001622082259883659,0.0011354575819185614
SASP minus MaxRateMatching,queue_overflow_packet_probability,-0.027505232824539504,-0.032346443279285264,-0.02266402236979374,5,120,9.436315197926158e-05,0.0007549052158340926
SASP minus MaxRateMatching,cohort_goodput_mbps,0.16371296296296295,0.1448417776857023,0.1825841482402236,5,120,1.762321759938117e-05,0.00019516895452167108
SASP minus MaxRateMatching,energy_j,0.008271236594828788,0.0074868466759019465,0.009055626513755629,5,120,8.103466159029555e-06,0.00011344852622641376
SASP minus MaxWeight,deadline_expiration_class0,-0.08783870968397627,-0.0959889005196767,-0.07968851884827582,5,119,7.4284048698699525e-06,0.00011142607304804929
SASP minus MaxWeight,queue_overflow_packet_probability,-0.020387908689223515,-0.025863958860893925,-0.014911858517553103,5,120,0.0004942564454079616,0.0014706276113025322
SASP minus MaxWeight,cohort_goodput_mbps,0.18031018518518516,0.17067106626560286,0.18994930410476746,5,120,8.226035777678006e-07,1.5629467977588212e-05
SASP minus MaxWeight,energy_j,0.008428978226303696,0.007476778428121258,0.009381178024486136,5,120,1.626407954347259e-05,0.00019516895452167108
SASP minus WeightedMaxWeight,deadline_expiration_class0,-0.04940589532590779,-0.053110636701011814,-0.04570115395080377,5,119,3.1768917774439975e-06,5.083026843910396e-05
SASP minus WeightedMaxWeight,queue_overflow_packet_probability,-0.01718535285538791,-0.020970427947608946,-0.013400277763166876,5,120,0.0002279582619873203,0.0013677495719239218
SASP minus WeightedMaxWeight,cohort_goodput_mbps,0.13658333333333333,0.12827095049732368,0.144895716169343,5,120,1.380754107168428e-06,2.4853573929031705e-05
SASP minus WeightedMaxWeight,energy_j,0.007941060746049125,0.0070818221736065915,0.008800299318491658,5,120,1.3700970445611288e-05,0.00017811261579294676
SASP minus EDF,deadline_expiration_class0,0.0006800454740082667,0.0002998428264634638,0.0010602481215530694,5,119,0.00767295597480944,0.00767295597480944
SASP minus EDF,queue_overflow_packet_probability,-0.010799827897275838,-0.013492728259197683,-0.008106927535353994,5,120,0.00037017779244984784,0.0014706276113025322
SASP minus EDF,cohort_goodput_mbps,0.054027777777777765,0.041327292598376426,0.0667282629571791,5,120,0.00029412552226050644,0.0014706276113025322
SASP minus EDF,energy_j,0.007651855017499533,0.006752988371602406,0.008550721663396661,5,120,1.8999572405887025e-05,0.00019516895452167108
SASP minus LyapunovDPP-Energy,deadline_expiration_class0,-0.09315131067983493,-0.09924147857092985,-0.08706114278874,5,119,1.8380288560977678e-06,3.1246490553662055e-05
SASP minus LyapunovDPP-Energy,queue_overflow_packet_probability,-0.024999324872786072,-0.03120831832188214,-0.018790331423690004,5,120,0.00036454068296138336,0.0014706276113025322
SASP minus LyapunovDPP-Energy,cohort_goodput_mbps,0.20024537037037032,0.19424307491862375,0.2062476658221169,5,120,8.144736502813232e-08,1.6289473005626465e-06
SASP minus LyapunovDPP-Energy,energy_j,0.011894097729122931,0.010464121926462885,0.013324073531782978,5,120,2.0834072812183363e-05,0.00019516895452167108
