method,metric,mean,ci95_low,ci95_high,n_blocks
SASP,deadline_expiration_class0,0.0006800454740082667,0.0002998428264634638,0.0010602481215530694,5
SASP,queue_overflow_packet_probability,0.004318747794321489,0.0030709155071333653,0.005566580081509613,5
SASP,cohort_goodput_mbps,2.7967037037037032,2.7532061387414766,2.84020126866593,5
SASP,energy_j,0.07075178734850346,0.06906437935477892,0.072439195342228,5
SASP,throughput_mbps,2.6895975054227454,2.660736246061888,2.7184587647836027,5
SASP,total_packet_failure_probability,0.004830855035518197,0.0033703681898439755,0.006291341881192418,5
SASP,deadline_expiration_class1,0.0002984383438751438,-0.0002278816582213163,0.0008247583459716039,5
SASP,deadline_expiration_class2,0.00023809523809523807,-0.00042296312028518876,0.000899153596475665,5
SASP,controller_median_ms,2.626866666666667,2.517727158930922,2.736006174402412,5
SASP,controller_p95_ms,4.337981833333332,3.9886736775832654,4.687289989083399,5
SASP,decision_median_ms,2.6121966666666667,2.5036405464445632,2.72075278688877,5
SASP,decision_p95_ms,4.319782416666666,3.973578437331515,4.665986396001816,5
MaxRateMatching,deadline_expiration_class0,0.03576904792128664,0.02894347574463235,0.04259462009794094,5
MaxRateMatching,queue_overflow_packet_probability,0.03182398061886099,0.027220322278703316,0.03642763895901867,5
MaxRateMatching,cohort_goodput_mbps,2.6329907407407407,2.595301229077598,2.6706802524038835,5
MaxRateMatching,energy_j,0.06248055075367468,0.06152837283589889,0.06343272867145047,5
MaxRateMatching,throughput_mbps,2.64281852590298,2.613525448406273,2.672111603399687,5
MaxRateMatching,total_packet_failure_probability,0.05955745119626167,0.05345143809741795,0.06566346429510539,5
MaxRateMatching,deadline_expiration_class1,0.02821527508142242,0.02329937307397919,0.03313117708886565,5
MaxRateMatching,deadline_expiration_class2,0.003828056328012517,-1.0237093130907246e-05,0.0076663497491559415,5
MaxRateMatching,controller_median_ms,0.6740449999999999,0.6600602398601525,0.6880297601398473,5
MaxRateMatching,controller_p95_ms,1.0256421666666662,0.9627949493817934,1.088489383951539,5
MaxRateMatching,decision_median_ms,0.6740449999999999,0.6600602398601525,0.6880297601398473,5
MaxRateMatching,decision_p95_ms,1.0256421666666662,0.9627949493817934,1.088489383951539,5
MaxWeight,deadline_expiration_class0,0.08851875515798453,0.08025132947657773,0.09678618083939133,5
MaxWeight,queue_overflow_packet_probability,0.024706656483545007,0.019450787671145428,0.029962525295944585,5
MaxWeight,cohort_goodput_mbps,2.6163935185185183,2.5778566055573533,2.6549304314796833,5
MaxWeight,energy_j,0.062322809122199764,0.061448700892662314,0.06319691735173721,5
MaxWeight,throughput_mbps,2.6348695392771964,2.6050212224885354,2.6647178560658573,5
