method,metric,mean,ci95_low,ci95_high,n_blocks
SASP,deadline_expiration_class0,0.0017171121604015985,-0.00030239594442316164,0.0037366202652263586,5
SASP,queue_overflow_packet_probability,0.008674091253839566,0.006832067386682347,0.010516115120996785,5
SASP,cohort_goodput_mbps,2.0935694444444444,2.0594461473483805,2.1276927415405082,5
SASP,energy_j,0.053959220928488705,0.05260377176487983,0.05531467009209758,5
SASP,throughput_mbps,1.9734445736758546,1.9491921598885142,1.997696987463195,5
SASP,total_packet_failure_probability,0.010282716882992232,0.00691225093840706,0.013653182827577404,5
SASP,deadline_expiration_class1,0.0010420512946372207,0.00019285690185191957,0.0018912456874225218,5
SASP,deadline_expiration_class2,0.00015723270440251572,-0.0002793152681128606,0.000593780676917892,5
SASP,controller_median_ms,1.6099883333333331,1.5558297987607856,1.6641468679058806,5
SASP,controller_p95_ms,2.5198869166666658,2.415305711897384,2.6244681214359473,5
SASP,decision_median_ms,1.5957491666666668,1.542217348361046,1.6492809849722876,5
SASP,decision_p95_ms,2.503838833333332,2.399248581278157,2.608429085388507,5
MaxRateMatching,deadline_expiration_class0,0.0403781765054866,0.037853313682182574,0.042903039328790624,5
MaxRateMatching,queue_overflow_packet_probability,0.037531756628528,0.030942697441788344,0.04412081581526765,5
MaxRateMatching,cohort_goodput_mbps,1.9551805555555557,1.9352167658327504,1.975144345278361,5
MaxRateMatching,energy_j,0.047154542824432724,0.045918301823462765,0.04839078382540268,5
MaxRateMatching,throughput_mbps,1.9421775666345247,1.9225280080057612,1.9618271252632882,5
MaxRateMatching,total_packet_failure_probability,0.07206201871976696,0.06421134160918514,0.07991269583034878,5
MaxRateMatching,deadline_expiration_class1,0.037643329359582076,0.03083045414764428,0.04445620457151987,5
MaxRateMatching,deadline_expiration_class2,0.00832834249751169,-7.658517046869526e-06,0.016664343512070252,5
MaxRateMatching,controller_median_ms,0.42193416666666667,0.39711266067322387,0.44675567266010946,5
MaxRateMatching,controller_p95_ms,0.6764237499999997,0.5882734771829953,0.764574022817004,5
MaxRateMatching,decision_median_ms,0.42193416666666667,0.39711266067322387,0.44675567266010946,5
MaxRateMatching,decision_p95_ms,0.6764237499999997,0.5882734771829953,0.764574022817004,5
