comparison,metric,mean,ci95_low,ci95_high,n_blocks,matched_scenarios,p_two_sided,p_holm_within_suite
SASP minus MaxRateMatching,deadline_expiration_class0,-0.038661064345085004,-0.0402668331489836,-0.03705529554118641,5,113,3.000433923272154e-07,6.000867846544308e-06
SASP minus MaxRateMatching,queue_overflow_packet_probability,-0.028857665374688434,-0.03601934170720957,-0.021695989042167293,5,120,0.00036343220948178106,0.0007268644189635621
SASP minus MaxRateMatching,cohort_goodput_mbps,0.13838888888888887,0.11600323098022786,0.16077454679754988,5,120,6.759352827078741e-05,0.00040556116962472445
SASP minus MaxRateMatching,energy_j,0.006804678104055971,0.006284196659148039,0.007325159548963903,5,120,3.4386766048640745e-06,5.501882567782519e-05
SASP minus MaxWeight,deadline_expiration_class0,-0.09624409347623013,-0.10746970772471566,-0.0850184792277446,5,113,1.846913693865181e-05,0.00014775309550921448
SASP minus MaxWeight,queue_overflow_packet_probability,-0.02456685464528271,-0.026892580878074092,-0.022241128412491325,5,120,8.047710754712006e-06,9.657252905654407e-05
SASP minus MaxWeight,cohort_goodput_mbps,0.16489814814814815,0.14919312599402917,0.18060317030226714,5,120,8.243027286743009e-06,9.657252905654407e-05
SASP minus MaxWeight,energy_j,0.0068736345675182945,0.006364683207666095,0.007382585927370494,5,120,3.02063232000902e-06,5.1350749440153336e-05
SASP minus WeightedMaxWeight,deadline_expiration_class0,-0.055897016948750135,-0.05925900098542967,-0.0525350329120706,5,113,1.3172416412437617e-06,2.5027591183631474e-05
SASP minus WeightedMaxWeight,queue_overflow_packet_probability,-0.022475314954886964,-0.026439914967031294,-0.018510714942742635,5,120,9.51857099709706e-05,0.000475928549854853
SASP minus WeightedMaxWeight,cohort_goodput_mbps,0.1328888888888889,0.11298131120625435,0.15279646657152343,5,120,4.988059113072406e-05,0.0003491641379150684
SASP minus WeightedMaxWeight,energy_j,0.006576502535338445,0.006142691558179394,0.0070103135124974965,5,120,1.90451568770888e-06,3.428128237875984e-05
SASP minus EDF,deadline_expiration_class0,0.0012736531803572524,0.00030960393717400017,0.0022377024235405046,5,113,0.02142695155638764,0.02142695155638764
SASP minus EDF,queue_overflow_packet_probability,-0.012189266401018046,-0.01454488476815955,-0.00983364803387654,5,120,0.00013639731140417983,0.0005455892456167193
SASP minus EDF,cohort_goodput_mbps,0.04402777777777779,0.034605171633464354,0.05345038392209123,5,120,0.00020368634988514992,0.0006110590496554497
SASP minus EDF,energy_j,0.006324329823077533,0.005783672406406085,0.006864987239748981,5,120,5.359022175491064e-06,6.966728828138384e-05
SASP minus LyapunovDPP-Energy,deadline_expiration_class0,-0.1028717406547323,-0.11451571000295356,-0.09122777130651104,5,113,1.6391474308697013e-05,0.00014752326877827312
SASP minus LyapunovDPP-Energy,queue_overflow_packet_probability,-0.028621619781557712,-0.03144814654564404,-0.025795093017471384,5,120,9.523056267090418e-06,9.657252905654407e-05
SASP minus LyapunovDPP-Energy,cohort_goodput_mbps,0.18024074074074076,0.16571884000327772,0.1947626414782038,5,120,4.230996723088884e-06,6.346495084633326e-05
SASP minus LyapunovDPP-Energy,energy_j,0.008722137155739324,0.007994290176820826,0.009449984134657821,5,120,4.8669022619518156e-06,6.813663166732542e-05
