comparison,metric,mean,ci95_low,ci95_high,n_blocks,matched_scenarios,p_two_sided,p_holm_within_suite
SASP minus MaxRateMatching,deadline_expiration_class0,-0.049960432421633394,-0.05364447215621158,-0.04627639268705521,5,120,2.9713092114271285e-06,5.0512256594261186e-05
SASP minus MaxRateMatching,queue_overflow_packet_probability,-0.04677887987940881,-0.04935746180160878,-0.044200297957208846,5,120,9.297773609958158e-07,1.8595547219916316e-05
SASP minus MaxRateMatching,cohort_goodput_mbps,0.45669907407407406,0.41535888701830964,0.4980392611298385,5,120,6.731205555073885e-06,9.423687777103439e-05
SASP minus MaxRateMatching,energy_j,0.012285460897617461,0.011080506170656104,0.013490415624578818,5,120,9.26632560955571e-06,9.879976717276129e-05
SASP minus MaxWeight,deadline_expiration_class0,-0.1378989640409735,-0.15049647291481008,-0.1253014551671369,5,120,6.981706575632165e-06,9.423687777103439e-05
SASP minus MaxWeight,queue_overflow_packet_probability,-0.03061594289385533,-0.03304019635475573,-0.028191689432954924,5,120,3.947891171967606e-06,6.316625875148169e-05
SASP minus MaxWeight,cohort_goodput_mbps,0.46637962962962964,0.42141455830707364,0.5113447009521856,5,120,8.654749255466204e-06,9.879976717276129e-05
SASP minus MaxWeight,energy_j,0.013300232003429174,0.011817305166768243,0.014783158840090104,5,120,1.5437684464371342e-05,9.879976717276129e-05
SASP minus WeightedMaxWeight,deadline_expiration_class0,-0.07367389366741636,-0.08083041010217162,-0.0665173772326611,5,120,8.91684866741411e-06,9.879976717276129e-05
SASP minus WeightedMaxWeight,queue_overflow_packet_probability,-0.027692091415979614,-0.03009480461170744,-0.025289378220251787,5,120,5.685351788665068e-06,8.528027682997603e-05
SASP minus WeightedMaxWeight,cohort_goodput_mbps,0.3970416666666666,0.3482337409826464,0.44584959235068683,5,120,2.2759222021599832e-05,9.879976717276129e-05
SASP minus WeightedMaxWeight,energy_j,0.012053008282427188,0.010905410467491584,0.013200606097362792,5,120,8.23331393106344e-06,9.879976717276129e-05
SASP minus EDF,deadline_expiration_class0,0.0024641212455479137,0.0008512872777790708,0.004076955213316757,5,120,0.013243321588863204,0.013243321588863204
SASP minus EDF,queue_overflow_packet_probability,-0.0224610429609887,-0.023857179774990737,-0.02106490614698666,5,120,1.502233262349539e-06,2.7040198722291703e-05
SASP minus EDF,cohort_goodput_mbps,0.14951388888888886,0.14055516369433396,0.15847261408344376,5,120,1.2974968668785582e-06,2.4652440470692605e-05
SASP minus EDF,energy_j,0.011424326516859758,0.010165962288076404,0.012682690745643113,5,120,1.470803777645288e-05,9.879976717276129e-05
SASP minus LyapunovDPP-Energy,deadline_expiration_class0,-0.14245843904660113,-0.15690020122748263,-0.12801667686571963,5,120,1.0569947245778804e-05,9.879976717276129e-05
SASP minus LyapunovDPP-Energy,queue_overflow_packet_probability,-0.03402092156927304,-0.038109424867923535,-0.029932418270622548,5,120,2.079998336701214e-05,9.879976717276129e-05
SASP minus LyapunovDPP-Energy,cohort_goodput_mbps,0.49752314814814813,0.43823322434560524,0.5568130719506911,5,120,2.0116390948529445e-05,9.879976717276129e-05
SASP minus LyapunovDPP-Energy,energy_j,0.019899068845717217,0.017932085106259123,0.02186605258517531,5,120,9.55885691271742e-06,9.879976717276129e-05
